行 ID,订单 ID,订单日期,发货日期,邮寄方式,客户 ID,客户名称,细分,城市,省/自治区,国家,地区,产品 ID,类别,子类别,产品名称,销售额,数量,折扣,利润
1,US-202023-1357144,2024/4/27,2024/4/29,二级,曾惠-14485,曾惠,公司,杭州,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,剪刀,129.696,2,0.4,-60.704
2,CN-202023-1973789,2024/6/15,2024/6/19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-信封-10004832,办公用品,信封,搭扣信封,125.44,2,0,42.56
3,CN-202023-1973789,2024/6/15,2024/6/19,标准级,许安-10165,许安,消费者,内江,四川,中国,西南,办公用-装订-10001505,办公用品,装订机,孔加固材料,31.92,2,0.4,4.2
4,US-202023-3017568,2024/12/9,2024/12/13,标准级,宋良-17170,宋良,公司,镇江,江苏,中国,华东,办公用-用品-10003746,办公用品,用品,开信刀,321.216,4,0.4,-27.104
5,CN-202022-2975416,2023/5/31,2023/6/2,二级,万兰-15730,万兰,消费者,汕头,广东,中国,中南,办公用-器具-10003452,办公用品,器具,搅拌机,1375.92,3,0,550.2
6,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,技术-设备-10001640,技术,设备,打印机,11129.58,9,0,3783.78
7,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-装订-10001029,办公用品,装订机,订书机,479.92,2,0,172.76
8,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,家具-椅子-10000578,家具,椅子,扶手椅,8659.84,4,0,2684.08
9,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-纸张-10001629,办公用品,纸张,计划信息表,588,5,0,46.9
10,CN-202021-4497736,2022/10/27,2022/10/31,标准级,俞明-18325,俞明,消费者,景德镇,江西,中国,华东,办公用-系固-10004801,办公用品,系固件,橡皮筋,154.28,2,0,33.88
11,CN-202020-4195213,2021/12/22,2021/12/24,二级,谢雯-21700,谢雯,小型企业,榆林,陕西,中国,西北,技术-设备-10000001,技术,设备,计算器,434.28,2,0,4.2
12,CN-202023-5801711,2024/6/1,2024/6/6,标准级,康青-19585,康青,消费者,哈尔滨,黑龙江,中国,东北,技术-复印-10002416,技术,复印机,墨水,2368.8,4,0,639.52
13,CN-202021-2752724,2022/6/5,2022/6/9,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,办公用-信封-10000017,办公用品,信封,局间信封,683.76,3,0,88.62
14,CN-202021-2752724,2022/6/5,2022/6/9,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-配件-10004920,技术,配件,键区,1326.5,5,0,344.4
15,CN-202021-2752724,2022/6/5,2022/6/9,标准级,赵婵-10885,赵婵,消费者,青岛,山东,中国,华东,技术-电话-10004349,技术,电话,充电器,5936.56,2,0,2849.28
16,US-202022-2511714,2023/11/22,2023/11/25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-器具-10003582,办公用品,器具,冰箱,10336.452,7,0.4,-3962.728
17,US-202022-2511714,2023/11/22,2023/11/25,一级,刘斯-20965,刘斯云,公司,徐州,江苏,中国,华东,办公用-标签-10004648,办公用品,标签,圆形标签,85.26,3,0,38.22
18,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-配件-10001200,技术,配件,键盘,2330.44,7,0,1071.14
19,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10000039,办公用品,用品,尺子,85.54,1,0,23.94
20,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004589,办公用品,装订机,孔加固材料,137.9,5,0,2.1
21,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-装订-10004369,办公用品,装订机,装订机,397.32,6,0,126.84
22,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-电话-10002777,技术,电话,办公室电话机,2133.46,7,0,959.42
23,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,技术-复印-10002045,技术,复印机,传真机,4473.84,3,0,1162.98
24,CN-202023-5631342,2024/10/2,2024/10/4,二级,白鹄-14050,白鹄,消费者,上海,上海,中国,华东,办公用-用品-10004353,办公用品,用品,开信刀,269.92,2,0,118.72
25,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-书架-10004730,家具,书架,书架,1638.336,4,0.4,-464.464
26,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-椅子-10002386,家具,椅子,摇椅,1204.56,3,0.4,60.06
27,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003889,办公用品,系固件,图钉,198.66,5,0.4,-16.94
28,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-系固-10003118,办公用品,系固件,图钉,249.312,8,0.4,-58.688
29,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,办公用-用品-10002717,办公用品,用品,剪刀,389.088,6,0.4,-182.112
30,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,技术-配件-10003585,技术,配件,路由器,692.496,1,0.4,-34.664
31,US-202022-4150614,2023/6/7,2023/6/14,标准级,贾彩-10600,贾彩,公司,温岭,浙江,中国,华东,家具-用具-10001174,家具,用具,灯泡,106.008,2,0.4,-9.072
32,CN-202023-4364300,2024/12/12,2024/12/15,二级,马丽-15910,马丽,消费者,上海,上海,中国,华东,办公用-装订-10004816,办公用品,装订机,标签,158.9,5,0,72.8
33,CN-202023-3230180,2024/9/28,2024/10/2,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,办公用-收纳-10001942,办公用品,收纳具,文件车,1272.88,2,0,585.48
34,CN-202023-3230180,2024/9/28,2024/10/2,二级,宋栋-12310,宋栋,公司,唐山,河北,中国,华北,家具-椅子-10000374,家具,椅子,椅垫,1738.1,5,0,799.4
35,US-202022-1966627,2023/11/19,2023/11/23,标准级,巩虢-13495,巩虢,公司,宁波,浙江,中国,华东,家具-书架-10002226,家具,书架,书架,1390.032,4,0.4,-486.528
36,CN-202022-1190387,2023/2/28,2023/3/1,一级,常松-20575,常松,消费者,上海,上海,中国,华东,家具-用具-10002645,家具,用具,灯泡,399,5,0,0
37,CN-202022-3216455,2023/9/3,2023/9/6,二级,田黎-16450,田黎明,公司,厦门,福建,中国,华东,办公用-美术-10001683,办公用品,美术,画布,250.32,1,0,32.48
38,CN-202022-4690757,2023/9/17,2023/9/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-纸张-10003357,办公用品,纸张,笔记本,834.12,6,0,399.84
39,CN-202022-4690757,2023/9/17,2023/9/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,办公用-收纳-10002029,办公用品,收纳具,盘,228.48,1,0,77.56
40,CN-202022-4690757,2023/9/17,2023/9/21,标准级,谭乐-17815,谭乐,消费者,宿州,安徽,中国,华东,家具-桌子-10001094,家具,桌子,培训桌,932.295,1,0.25,-211.365
41,CN-202022-4674220,2023/7/2,2023/7/5,一级,徐岱-11875,徐岱,公司,兰州,甘肃,中国,西北,办公用-纸张-10002597,办公用品,纸张,羊皮纸,291.9,3,0,107.94
42,US-202022-3857264,2023/7/26,2023/8/1,标准级,武杰-14815,武杰,小型企业,淮阴,江苏,中国,华东,办公用-器具-10004757,办公用品,器具,炉灶,9424.296,6,0.4,-2042.544
43,CN-202022-4054371,2023/12/24,2023/12/26,二级,吕兰-15700,吕兰,消费者,肇源,黑龙江,中国,东北,办公用-器具-10003452,办公用品,器具,搅拌机,4127.76,9,0,1650.6
44,CN-202020-2932548,2021/5/17,2021/5/22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-收纳-10004212,办公用品,收纳具,锁柜,1935.08,2,0,0
45,CN-202020-2932548,2021/5/17,2021/5/22,二级,唐婉-21385,唐婉,小型企业,南昌,江西,中国,华东,办公用-美术-10001691,办公用品,美术,钢笔,266.56,4,0,50.4
46,CN-202022-3476344,2023/7/16,2023/7/20,标准级,葛毅-12505,葛毅,消费者,合肥,安徽,中国,华东,办公用-装订-10000749,办公用品,装订机,打孔机,697.9,5,0,236.6
47,US-202022-5956361,2023/6/16,2023/6/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-美术-10001467,办公用品,美术,速写本,272.16,6,0.8,-1020.6
48,US-202022-5956361,2023/6/16,2023/6/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,技术-电话-10004349,技术,电话,充电器,1780.968,1,0.4,237.328
49,US-202022-5956361,2023/6/16,2023/6/18,二级,邹涛-21265,邹涛,公司,内江,四川,中国,西南,办公用-信封-10002675,办公用品,信封,邮寄品,357,2,0,149.8
50,CN-202023-2396895,2024/6/19,2024/6/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-电话-10004015,技术,电话,充电器,12183.36,4,0,1340.08
51,CN-202023-2396895,2024/6/19,2024/6/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,技术-复印-10003216,技术,复印机,传真机,2999.36,2,0,1229.48
52,CN-202023-2396895,2024/6/19,2024/6/22,二级,薛磊-15985,薛磊,消费者,蛟河,吉林,中国,东北,办公用-收纳-10000501,办公用品,收纳具,盘,510.44,2,0,224.56
53,CN-202022-2828982,2023/5/22,2023/5/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10000297,办公用品,器具,炉灶,12641.3,5,0,3539.2
54,CN-202022-2828982,2023/5/22,2023/5/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-器具-10002796,办公用品,器具,烤面包机,1359.4,5,0,217
55,CN-202022-2828982,2023/5/22,2023/5/26,标准级,苏晒-19825,苏晒明,消费者,青岛,山东,中国,华东,办公用-收纳-10000932,办公用品,收纳具,文件夹,143.22,1,0,68.74
56,US-202022-4297166,2023/12/31,2024/1/4,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-用品-10003822,办公用品,用品,开信刀,338.352,4,0.4,-129.808
57,US-202022-4297166,2023/12/31,2024/1/4,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10003020,办公用品,系固件,订书钉,137.76,5,0.4,-71.54
58,US-202022-4297166,2023/12/31,2024/1/4,标准级,林丹-11980,林丹,消费者,沈阳,辽宁,中国,东北,办公用-系固-10004142,办公用品,系固件,按钉,121.968,3,0.4,-40.992
59,US-202022-4292548,2023/10/1,2023/10/7,标准级,徐健-14590,徐健,公司,黄石,湖北,中国,中南,家具-书架-10001540,家具,书架,古典书架,2314.368,2,0.4,-694.512
